GroupPeriod,Period,group_event_set_id
1,727,1
2,678,1
3,138,1
8,855,1
9,387,1
12,869,1
15,382,1
17,219,1
18,331,1
19,526,1
20,368,1
21,534,1
22,953,1
24,651,1
26,390,1
27,409,1
29,197,1
30,270,1
31,610,1
33,581,1
34,839,1
35,814,1
36,652,1
39,810,1
41,987,1
42,340,1
43,71,1
45,914,1
46,828,1
47,990,1
49,285,1
50,201,1
52,213,1
53,622,1
54,425,1
55,312,1
57,667,1
58,465,1
59,344,1
61,147,1
62,505,1
63,297,1
64,449,1
65,813,1
66,269,1
68,107,1
69,881,1
71,305,1
72,617,1
73,607,1
74,647,1
75,435,1
76,586,1
77,49,1
78,884,1
79,928,1
80,798,1
81,662,1
82,781,1
84,345,1
85,800,1
86,598,1
87,227,1
88,785,1
89,516,1
91,103,1
92,769,1
93,372,1
94,339,1
95,75,1
97,341,1
98,922,1
99,9,1
100,791,1
101,432,1
102,788,1
104,461,1
105,30,1
106,469,1
107,56,1
108,687,1
109,557,1
111,281,1
112,827,1
114,87,1
115,519,1
116,175,1
117,575,1
118,707,1
119,133,1
121,72,1
122,460,1
123,8,1
124,456,1
125,359,1
126,517,1
127,882,1
129,318,1
131,62,1
132,464,1
133,377,1
134,276,1
135,903,1
136,506,1
137,771,1
138,457,1
139,749,1
140,920,1
141,380,1
142,124,1
143,383,1
144,746,1
145,825,1
146,572,1
147,862,1
150,299,1
152,63,1
153,433,1
154,483,1
155,888,1
157,169,1
158,758,1
159,916,1
161,842,1
162,563,1
163,912,1
164,546,1
165,846,1
167,818,1
168,858,1
169,14,1
171,701,1
172,924,1
173,145,1
174,248,1
175,100,1
176,514,1
179,985,1
180,602,1
182,541,1
183,189,1
184,578,1
185,358,1
187,73,1
189,536,1
190,587,1
191,554,1
192,915,1
193,239,1
194,415,1
195,887,1
196,328,1
198,121,1
200,850,1
201,786,1
202,394,1
204,108,1
205,114,1
206,32,1
208,332,1
209,279,1
211,820,1
213,809,1
215,841,1
217,564,1
220,136,1
221,722,1
222,740,1
224,1,1
225,61,1
226,150,1
228,898,1
231,366,1
232,451,1
233,257,1
234,236,1
235,15,1
236,787,1
237,324,1
239,535,1
240,512,1
241,547,1
245,859,1
246,428,1
247,362,1
249,895,1
250,878,1
252,812,1
253,261,1
254,965,1
255,19,1
257,621,1
259,356,1
260,140,1
262,128,1
263,146,1
264,258,1
267,561,1
269,676,1
270,604,1
271,288,1
273,565,1
274,542,1
275,440,1
278,143,1
279,983,1
280,99,1
282,832,1
283,997,1
284,978,1
285,241,1
287,984,1
289,280,1
290,113,1
292,941,1
293,86,1
294,88,1
295,156,1
296,195,1
297,694,1
298,434,1
299,361,1
301,329,1
303,553,1
304,632,1
306,886,1
307,130,1
308,500,1
310,309,1
311,192,1
312,716,1
313,973,1
315,289,1
316,840,1
317,642,1
318,549,1
319,246,1
320,960,1
321,27,1
322,763,1
324,737,1
325,304,1
327,173,1
328,548,1
329,995,1
330,401,1
331,238,1
332,273,1
333,893,1
334,315,1
335,333,1
336,821,1
338,404,1
339,508,1
341,423,1
342,405,1
344,179,1
345,326,1
346,212,1
347,171,1
348,639,1
349,745,1
350,64,1
351,252,1
352,68,1
353,945,1
356,240,1
357,926,1
358,680,1
359,777,1
360,193,1
362,962,1
363,804,1
364,370,1
368,117,1
370,654,1
371,910,1
372,762,1
373,919,1
374,399,1
376,346,1
377,74,1
378,872,1
379,939,1
380,209,1
381,300,1
382,234,1
383,752,1
386,335,1
387,666,1
388,584,1
389,817,1
390,419,1
392,866,1
393,733,1
394,233,1
395,710,1
396,986,1
397,255,1
399,705,1
400,967,1
401,282,1
402,262,1
403,751,1
404,989,1
405,934,1
406,490,1
407,759,1
408,531,1
409,463,1
412,931,1
415,402,1
417,923,1
418,875,1
419,427,1
420,18,1
421,152,1
422,354,1
423,242,1
425,524,1
426,416,1
427,929,1
429,660,1
430,144,1
431,899,1
432,475,1
433,187,1
434,856,1
435,555,1
436,351,1
437,479,1
438,658,1
439,620,1
440,284,1
442,631,1
443,249,1
444,450,1
446,568,1
447,942,1
448,502,1
450,533,1
452,544,1
453,164,1
457,487,1
458,206,1
459,231,1
462,89,1
464,756,1
466,930,1
468,691,1
469,474,1
471,907,1
472,627,1
474,424,1
475,229,1
476,348,1
478,243,1
479,784,1
480,528,1
481,37,1
483,864,1
484,904,1
485,216,1
486,92,1
487,857,1
488,640,1
489,6,1
490,491,1
491,431,1
493,731,1
494,975,1
495,94,1
496,971,1
497,142,1
498,532,1
499,661,1
500,181,1
501,773,1
502,211,1
504,807,1
505,833,1
506,958,1
507,783,1
508,994,1
509,905,1
511,670,1
512,757,1
514,494,1
521,743,1
522,797,1
523,320,1
524,539,1
526,952,1
527,205,1
528,151,1
529,498,1
530,59,1
532,220,1
533,650,1
534,413,1
535,933,1
536,384,1
537,509,1
538,131,1
539,330,1
540,22,1
541,244,1
542,311,1
543,303,1
544,529,1
545,792,1
546,844,1
549,558,1
550,891,1
551,369,1
553,2,1
554,779,1
555,682,1
556,719,1
557,496,1
558,852,1
559,625,1
560,112,1
561,643,1
562,208,1
563,688,1
564,21,1
565,937,1
566,741,1
568,944,1
569,224,1
570,608,1
571,970,1
575,265,1
576,476,1
577,484,1
578,188,1
579,964,1
580,659,1
581,34,1
582,36,1
585,522,1
586,672,1
588,663,1
589,703,1
590,725,1
593,730,1
594,734,1
595,41,1
597,396,1
598,436,1
599,317,1
600,325,1
601,16,1
602,134,1
603,160,1
604,473,1
605,154,1
607,323,1
608,290,1
609,673,1
610,349,1
611,184,1
612,947,1
613,84,1
614,492,1
615,116,1
616,278,1
617,268,1
618,353,1
619,574,1
620,738,1
621,313,1
622,552,1
623,462,1
624,98,1
625,635,1
626,97,1
627,936,1
628,655,1
629,700,1
630,811,1
631,940,1
632,105,1
633,600,1
634,135,1
638,836,1
642,883,1
643,615,1
644,466,1
645,1000,1
646,422,1
647,379,1
648,327,1
649,894,1
650,948,1
651,753,1
652,441,1
654,981,1
655,334,1
656,530,1
657,644,1
658,860,1
659,932,1
660,569,1
661,412,1
662,692,1
663,274,1
665,998,1
666,702,1
667,556,1
668,638,1
669,675,1
670,85,1
671,646,1
672,338,1
674,950,1
675,185,1
676,337,1
677,77,1
678,182,1
679,577,1
680,106,1
681,772,1
683,645,1
684,618,1
686,48,1
688,397,1
689,943,1
690,55,1
692,867,1
696,715,1
698,765,1
700,158,1
701,322,1
702,360,1
703,165,1
704,764,1
705,308,1
706,513,1
707,302,1
710,614,1
711,649,1
712,711,1
714,293,1
715,690,1
716,789,1
717,410,1
718,597,1
722,801,1
723,316,1
724,589,1
726,247,1
728,82,1
730,717,1
731,720,1
732,306,1
733,5,1
735,774,1
736,583,1
739,616,1
740,159,1
741,736,1
