loc_id,PortNumber,AccNumber,LocNumber,loc_idx,peril_id,coverage_type_id,tiv,coverage_id,agg_id,building_id,risk_id,PolNumber,layer_id,output_id,acc_idx
1,1,A11111,10002082046,0,WSS,1,220000.0,1,1,1,1,Layer1,1,1,4294967295
1,1,A11111,10002082046,0,WSS,1,220000.0,1,1,1,1,Layer2,2,2,4294967295
2,1,A11111,10002082047,1,WSS,1,790000.0,2,2,1,1,Layer1,1,3,4294967295
2,1,A11111,10002082047,1,WSS,1,790000.0,2,2,1,1,Layer2,2,4,4294967295
3,1,A11111,10002082048,2,WSS,1,160000.0,3,3,1,1,Layer1,1,5,4294967295
3,1,A11111,10002082048,2,WSS,1,160000.0,3,3,1,1,Layer2,2,6,4294967295
4,1,A11111,10002082049,3,WSS,1,30000.0,4,4,1,1,Layer1,1,7,4294967295
4,1,A11111,10002082049,3,WSS,1,30000.0,4,4,1,1,Layer2,2,8,4294967295
5,1,A11111,10002082050,4,WSS,1,250000.0,5,5,1,1,Layer1,1,9,4294967295
5,1,A11111,10002082050,4,WSS,1,250000.0,5,5,1,1,Layer2,2,10,4294967295
6,1,A11111,10002082051,5,WSS,1,700000.0,6,6,1,1,Layer1,1,11,4294967295
6,1,A11111,10002082051,5,WSS,1,700000.0,6,6,1,1,Layer2,2,12,4294967295
7,1,A11111,10002082052,6,WSS,1,90000.0,7,7,1,1,Layer1,1,13,4294967295
7,1,A11111,10002082052,6,WSS,1,90000.0,7,7,1,1,Layer2,2,14,4294967295
8,1,A11111,10002082053,7,WSS,1,310000.0,8,8,1,1,Layer1,1,15,4294967295
8,1,A11111,10002082053,7,WSS,1,310000.0,8,8,1,1,Layer2,2,16,4294967295
9,1,A11111,10002082054,8,WSS,1,420000.0,9,9,1,1,Layer1,1,17,4294967295
9,1,A11111,10002082054,8,WSS,1,420000.0,9,9,1,1,Layer2,2,18,4294967295
10,1,A11111,10002082055,9,WSS,1,430000.0,10,10,1,1,Layer1,1,19,4294967295
10,1,A11111,10002082055,9,WSS,1,430000.0,10,10,1,1,Layer2,2,20,4294967295
1,1,A11111,10002082046,0,WTC,1,220000.0,1,11,1,1,Layer1,1,21,4294967295
1,1,A11111,10002082046,0,WTC,1,220000.0,1,11,1,1,Layer2,2,22,4294967295
2,1,A11111,10002082047,1,WTC,1,790000.0,2,12,1,1,Layer1,1,23,4294967295
2,1,A11111,10002082047,1,WTC,1,790000.0,2,12,1,1,Layer2,2,24,4294967295
3,1,A11111,10002082048,2,WTC,1,160000.0,3,13,1,1,Layer1,1,25,4294967295
3,1,A11111,10002082048,2,WTC,1,160000.0,3,13,1,1,Layer2,2,26,4294967295
4,1,A11111,10002082049,3,WTC,1,30000.0,4,14,1,1,Layer1,1,27,4294967295
4,1,A11111,10002082049,3,WTC,1,30000.0,4,14,1,1,Layer2,2,28,4294967295
5,1,A11111,10002082050,4,WTC,1,250000.0,5,15,1,1,Layer1,1,29,4294967295
5,1,A11111,10002082050,4,WTC,1,250000.0,5,15,1,1,Layer2,2,30,4294967295
6,1,A11111,10002082051,5,WTC,1,700000.0,6,16,1,1,Layer1,1,31,4294967295
6,1,A11111,10002082051,5,WTC,1,700000.0,6,16,1,1,Layer2,2,32,4294967295
7,1,A11111,10002082052,6,WTC,1,90000.0,7,17,1,1,Layer1,1,33,4294967295
7,1,A11111,10002082052,6,WTC,1,90000.0,7,17,1,1,Layer2,2,34,4294967295
8,1,A11111,10002082053,7,WTC,1,310000.0,8,18,1,1,Layer1,1,35,4294967295
8,1,A11111,10002082053,7,WTC,1,310000.0,8,18,1,1,Layer2,2,36,4294967295
9,1,A11111,10002082054,8,WTC,1,420000.0,9,19,1,1,Layer1,1,37,4294967295
9,1,A11111,10002082054,8,WTC,1,420000.0,9,19,1,1,Layer2,2,38,4294967295
10,1,A11111,10002082055,9,WTC,1,430000.0,10,20,1,1,Layer1,1,39,4294967295
10,1,A11111,10002082055,9,WTC,1,430000.0,10,20,1,1,Layer2,2,40,4294967295
