group_set_id,SummaryId,LossType,Mean,Std
1,1,1,15258.891977,32834.091523
1,1,3,14940.773236,32140.698540
1,2,1,54793.293906,117904.237730
1,2,3,53929.959660,114758.534119
1,3,1,11097.375939,23879.339261
1,3,3,10939.078599,23388.580287
1,4,1,2080.757985,4477.376108
1,4,3,2042.802178,4370.018017
1,5,1,17339.649879,37311.467573
1,5,3,16889.927347,36398.644722
1,6,1,48551.019906,104472.109369
1,6,3,48155.919380,101964.331838
1,7,1,6242.273988,13432.128348
1,7,3,6115.324544,13051.719261
1,8,1,21501.165879,46266.219814
1,8,3,21392.477601,45326.887927
1,9,1,29130.611953,62683.265632
1,9,3,28890.503021,60923.842994
1,10,1,29824.197953,64175.724339
1,10,3,29387.891989,63057.968825
