,GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
72400,1,557,1,799,1,0.34938723
72403,4,745,1,1080,1,0.14283438
72406,4,745,1,1083,1,0.091899514
72408,9,331,1,462,1,0.89149326
72410,9,331,1,464,1,0.96917677
72411,11,291,1,406,1,0.064927705
72412,11,291,1,407,1,0.57780683
72413,12,465,1,672,1,0.7433608
72414,12,465,1,673,1,0.60088277
72416,13,771,1,1119,1,0.5679223
72418,13,771,1,1121,1,0.6039399
72419,16,586,1,837,1,0.78741896
72420,18,613,1,876,1,0.5702536
72421,19,759,1,1101,1,0.16622718
72422,19,759,1,1102,1,0.025295217
72423,20,243,1,338,1,0.25178462
72424,21,537,1,765,1,0.6192329
72425,22,383,1,541,1,0.720679
72426,22,383,1,542,1,0.36297342
72427,23,852,1,1238,1,0.41719714
72429,24,594,1,840,1,0.854485
72430,25,531,1,752,1,0.8567893
72431,25,531,1,753,1,0.05898633
72432,26,312,1,432,1,0.5627458
72433,27,810,1,1184,1,0.9769766
72434,27,810,1,1185,1,0.23254737
72435,29,577,1,829,1,0.31092146
72437,30,568,1,813,1,0.3133451
72438,31,674,1,970,1,0.76457167
72439,34,107,1,150,1,0.047684584
72440,34,107,1,151,1,0.76089746
72441,34,107,1,152,1,0.18275328
72442,35,887,1,1289,1,0.20574719
72445,36,962,1,1393,1,0.3885966
72446,37,736,1,1062,1,0.32766193
72447,38,778,1,1128,1,0.0027084316
72448,38,778,1,1129,1,0.2624994
72450,41,18,1,29,1,0.8573227
72451,41,18,1,30,1,0.28915748
72452,45,927,1,1341,1,0.2768234
72456,47,376,1,525,1,0.8766483
72457,47,376,1,526,1,0.16826345
72458,48,691,1,996,1,0.22341672
72461,51,495,1,707,1,0.9251329
72464,54,62,1,93,1,0.8348892
72465,55,612,1,875,1,0.37588888
72466,56,828,1,1215,1,0.9759637
72467,56,828,1,1216,1,0.25761268
72471,58,567,1,812,1,0.8481189
72472,59,787,1,1145,1,0.95632535
72473,60,186,1,274,1,0.4046014
72474,60,186,1,275,1,0.45699373
72475,61,914,1,1321,1,0.7954682
72476,62,276,1,387,1,0.44891092
72477,62,276,1,388,1,0.13044152
72480,63,31,1,49,1,0.8194261
72481,63,31,1,50,1,0.35978827
72482,64,684,1,991,1,0.5692632
72483,65,112,1,154,1,0.5130385
72484,65,112,1,155,1,0.632878
72485,65,112,1,156,1,0.32284874
72486,65,112,1,157,1,0.29025185
72488,66,262,1,368,1,0.42411274
72489,67,565,1,811,1,0.97255296
72490,68,136,1,185,1,0.4760726
72492,70,424,1,608,1,0.0003449747
72493,70,424,1,609,1,0.5367058
72494,70,424,1,610,1,0.07567407
72496,71,380,1,536,1,0.034015287
72497,71,380,1,537,1,0.876597
72498,72,304,1,418,1,0.7388165
72499,74,447,1,646,1,0.41242906
72500,76,757,1,1096,1,0.16632132
72502,77,454,1,651,1,0.9428034
72504,78,272,1,381,1,0.9582573
72505,78,272,1,382,1,0.6089022
72507,80,30,1,47,1,0.63536215
72508,82,655,1,941,1,0.9779822
72509,83,428,1,623,1,0.51019883
72511,84,404,1,567,1,0.9843487
72512,85,279,1,391,1,0.63783455
72513,86,265,1,371,1,0.43735507
